word,freq_hike,freq_cut,p_hike,p_cut,log_odds
охлаждении,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
дешевых,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
сталь,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
дешевый,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
добычу,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
смотрите,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
временная,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
разъяснять,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
полного,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
esg,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
сбалансированные,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
государственная,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
регулированием,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
массовые,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
нфляция,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
юаней,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
соответствующий,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
исключение,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
называли,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
сотрудники,4,0,5.2025180706416327e-05,1.204296061253388e-07,6.068417724011528
пиком,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
исчерпается,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
ипотечном,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
замедлятся,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
соразмерно,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
криптовалютами,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
фиксированной,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
вспомните,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
оговорюсь,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
одновременного,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
каждой,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
деривативов,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
логистике,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
перегреве,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
экосистему,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
воспринимают,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
составляющую,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
симметричны,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
расчете,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
трейдеров,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
отклонении,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
активным,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
стимулирования,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
беспокоить,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
контрактов,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
льшее,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
фактическим,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
докризисного,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
средние,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
примером,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
увеличило,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
использоваться,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
опорного,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
недостаток,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
покупательной,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
статьи,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
восстановлении,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
оперативная,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
вовлечены,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
расходами,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
lawandfinance,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
допандемический,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
вторичным,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
ограниченными,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
публичных,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
швецов,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
принятием,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
конкретной,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
сдерживание,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
дискуссиях,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
взносу,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
доступного,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
часов,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
степенью,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
административными,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
докризисному,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
практик,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
усилении,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
характеристика,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
выданной,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
стоять,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
открытой,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
миру,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
выкупать,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
юрлиц,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
перешла,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
отвечать,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
манипулировать,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
оценивал,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
разу,3,0,3.905132018112547e-05,1.204296061253388e-07,5.781566561453834
